en | is a science fiction novel by Jules Verne. The book presents Paris in August 1960
en | 97 years in Verne's future, where society places value only on business and technology Written
en | in 1863 but first published 131 years later (1994), the novel follows a young man
en | who struggles unsuccessfully to live in a technologically advanced, but culturally backwards world. Often referred
en | to as Verne's "lost novel", the work paints a grim, dystopian view of a technological future
en | Many of Verne's predictions were remarkably on target. His publisher, Pierre-Jules Hetzel, would not release
en | the book because he thought it was too unbelievable, and its sales prospects would be
en | The novel's main character is 16-year-old Michel Dufrénoy, who graduates with a major in literature
en | and the classics, but finds they have been forgotten in a futuristic world where only
en | business and technology are valued. Michel, whose father was a musician, is a poet born
en | Michel had been living with his respectable uncle, Monsieur Stanislas Boutardin, and his family. The
en | day after graduation, Boutardin tells Michel that he is to start working at a banking
en | The rest of that day, Michel searches for literature by classic 19th century writers, such
en | Nothing but books about technology are available in bookstores. Michel's last resort is the Imperial
en | Library. The librarian turns out to be his long-hidden uncle, Monsieur Huguenin. Huguenin, still
en | working in the arts, is considered a "disgrace" to the rest of the family, and
en | so was barred from attending Michel's birthdays, graduations, and other family events, though he has
en | At his new job, Michel fails at each task with Casmodage and Co. Bank until he 
en | is assigned to The Ledger, where Michel dictates the accounts for bookkeeper Monsieur Quinsonnas. Quinsonnas
en | a kindred spirit of 30, writes the bookkeeping information on The Ledger. Quinsonnas tells Michel
en | that this is a job he can do in order to eat, have an apartment
en | and support himself while he continues working on a mysterious musical project that will
en | Michel's fear of not fitting in is resolved; he can be a reader and still
en | The pair visit Uncle Huguenin and are joined by other visitors, Michel's former teacher Monsieur
en | Osborn Memorial Playground is a memorial commemorating the former playground in Central Park, Manhattan, and
en | preserving some of its facilities as the Osborne Memorial Gates and the Ancient Playground within the
en | In the preamble of the resolution, the Council expressed concern at the slow progress on the issue
en | sexual violence in armed conflict, particularly against women and children. Moreover, despite calls to all parties
en | involved in conflict and condemnation, such acts continued to occur. It reminded all states to comply with international
en | and for leaders to demonstrate commitment to prevent sexual violence, combat impunity and uphold accountability, as
en | inaction would send the wrong message. Perpetrators of war crimes and genocide had to prosecuted
en | emphasising the primary responsibility of states to respect and ensure human rights of people within
en | The resolution noted that ending impunity was essential if a society was to recover from
en | conflict, and in this regard, there needed to be better access to health care, psychosocial
en | support, legal assistance and the needs of persons with disabilities. The Council recalled the number
